transaction_id, amount, timestamp, category, status, discount, discounted_amount, year, month, rank
1, 487.2, 2023-09-24, C, pending, 0.17, 404.38, 2023, 9, 1
2, 170.37, 2023-09-9, B, failed, 0.25, 127.78, 2023, 9, 2
3, 120.75, 2023-09-2, A, failed, 0.25, 90.56, 2023, 9, 3
4, 320.81, 2023-09-24, A, pending, 0.11, 285.52, 2023, 9, 4
5, 452.7, 2023-09-25, B, completed, 0.21, 357.63, 2023, 9, 5
6, 150.95, 2023-09-30, C, failed, 0.14, 129.82, 2023, 9, 6
7, 445.95, 2023-09-16, B, completed, 0.26, 330.0, 2023, 9, 7
8, 437.27, 2023-09-30, B, failed, 0.28, 314.83, 2023, 9, 8
9, 132.84, 2023-09-27, B, failed, 0.24, 100.96, 2023, 9, 9
10, 197.46, 2023-09-30, A, failed, 0.23, 152.04, 2023, 9, 10
11, 252.78, 2023-09-15, A, completed, 0.14, 217.39, 2023, 9, 11
12, 255.8, 2023-09-17, A, failed, 0.1, 230.22, 2023, 9, 12
13, 364.0, 2023-09-11, A, pending, 0.2, 291.2, 2023, 9, 13
14, 290.6, 2023-09-30, C, pending, 0.28, 209.23, 2023, 9, 14
15, 288.12, 2023-09-21, A, pending, 0.17, 239.14, 2023, 9, 15
16, 473.02, 2023-09-29, C, failed, 0.12, 416.26, 2023, 9, 16
17, 130.35, 2023-09-1, A, failed, 0.22, 101.67, 2023, 9, 17
18, 292.89, 2023-09-21, A, pending, 0.2, 234.31, 2023, 9, 18
19, 487.38, 2023-09-5, B, failed, 0.12, 428.89, 2023, 9, 19
20, 366.48, 2023-09-26, A, pending, 0.13, 318.84, 2023, 9, 20
21, 397.08, 2023-09-6, C, failed, 0.24, 301.78, 2023, 9, 21
22, 364.01, 2023-09-29, A, pending, 0.18, 298.49, 2023, 9, 22
23, 440.77, 2023-09-27, B, failed, 0.18, 361.43, 2023, 9, 23
24, 490.99, 2023-09-1, A, failed, 0.16, 412.43, 2023, 9, 24
25, 355.71, 2023-09-6, B, pending, 0.27, 259.67, 2023, 9, 25
26, 365.95, 2023-09-15, A, pending, 0.16, 307.4, 2023, 9, 26
27, 133.78, 2023-09-13, C, pending, 0.26, 99.0, 2023, 9, 27
28, 126.19, 2023-09-20, B, pending, 0.18, 103.48, 2023, 9, 28
29, 281.34, 2023-09-21, C, completed, 0.27, 205.38, 2023, 9, 29
30, 148.72, 2023-09-20, B, pending, 0.17, 123.44, 2023, 9, 30
31, 171.46, 2023-09-7, B, completed, 0.18, 140.6, 2023, 9, 31
32, 271.75, 2023-09-10, C, pending, 0.22, 211.97, 2023, 9, 32
33, 467.34, 2023-09-3, B, pending, 0.2, 373.87, 2023, 9, 33
34, 209.36, 2023-09-23, B, completed, 0.19, 169.58, 2023, 9, 34
35, 294.73, 2023-09-30, B, pending, 0.28, 212.21, 2023, 9, 35
36, 226.6, 2023-09-10, A, failed, 0.17, 188.08, 2023, 9, 36
37, 398.15, 2023-09-27, A, pending, 0.17, 330.46, 2023, 9, 37
38, 286.35, 2023-09-3, A, failed, 0.14, 246.26, 2023, 9, 38
39, 211.43, 2023-09-19, B, completed, 0.12, 186.06, 2023, 9, 39
40, 345.2, 2023-09-13, C, failed, 0.27, 252.0, 2023, 9, 40
41, 489.51, 2023-09-15, B, pending, 0.22, 381.82, 2023, 9, 41
42, 333.73, 2023-09-4, C, failed, 0.28, 240.29, 2023, 9, 42
43, 395.35, 2023-09-5, A, completed, 0.18, 324.19, 2023, 9, 43
44, 322.93, 2023-09-28, A, pending, 0.26, 238.97, 2023, 9, 44
45, 281.83, 2023-09-10, A, pending, 0.21, 222.65, 2023, 9, 45
46, 392.99, 2023-09-14, B, pending, 0.16, 330.11, 2023, 9, 46
47, 381.17, 2023-09-20, C, pending, 0.11, 339.24, 2023, 9, 47
48, 410.29, 2023-09-26, C, failed, 0.12, 361.06, 2023, 9, 48
49, 382.58, 2023-09-25, A, failed, 0.17, 317.54, 2023, 9, 49
50, 364.44, 2023-09-7, B, completed, 0.22, 284.26, 2023, 9, 50
51, 158.98, 2023-09-19, B, pending, 0.11, 141.49, 2023, 9, 51
52, 152.45, 2023-09-21, C, completed, 0.21, 120.44, 2023, 9, 52
53, 120.19, 2023-09-2, C, completed, 0.15, 102.16, 2023, 9, 53
54, 420.86, 2023-09-20, B, pending, 0.24, 319.85, 2023, 9, 54
55, 111.35, 2023-09-17, B, completed, 0.16, 93.53, 2023, 9, 55
56, 354.1, 2023-09-16, A, pending, 0.2, 283.28, 2023, 9, 56
57, 145.12, 2023-09-3, C, failed, 0.14, 124.8, 2023, 9, 57
58, 352.72, 2023-09-30, B, completed, 0.16, 296.28, 2023, 9, 58
59, 355.57, 2023-09-12, B, pending, 0.14, 305.79, 2023, 9, 59
60, 336.83, 2023-09-18, A, failed, 0.21, 266.1, 2023, 9, 60
61, 160.39, 2023-09-16, C, pending, 0.23, 123.5, 2023, 9, 61
62, 170.91, 2023-09-28, A, completed, 0.17, 141.86, 2023, 9, 62
63, 358.63, 2023-09-13, C, completed, 0.24, 272.56, 2023, 9, 63
